question,answer,passage
can a dog be mixed with 3 breeds,TRUE,"The primary identifying mark of a crossbred ``designer dog'' is that the resulting puppies are called by a portmanteau word made up of syllables (or sounds) from the breed names of the two purebred parents, such as Schnoodle (Schnauzer and poodle cross). or Shepsky (German Shepherd/Siberian Husky cross). Other purebred breeds are being crossed to provide designer dogs described with an endless range of created labels, such as the Puggle (Pug and Beagle cross). There are even complex crosses (with multiple breeds in recent ancestry) being labeled in this manner, such as German Chusky (German Shepherd Dog, Husky, Chow Chow)."
was there a 6th burrow in new york,FALSE,"The term sixth borough is used to describe any of a number of places that are not politically within the borders of any of the five boroughs of New York City that have instead been referred to as a metaphorical part of the city by virtue of their geographic location, demographic composition, special affiliation with New York City, or cosmopolitan character. They include adjacent cities and counties in the New York metropolitan area as well as in other states, U.S. territories, and foreign countries."
can lead dust be absorbed through the eyes,TRUE,"Exposure occurs through inhalation, ingestion or occasionally skin contact. Lead may be taken in through direct contact with mouth, nose, and eyes (mucous membranes), and through breaks in the skin. Tetraethyllead, which was a gasoline additive and is still used in fuels such as aviation fuel, passes through the skin; however inorganic lead found in paint, food, and most lead-containing consumer products is only minimally absorbed through the skin. The main sources of absorption of inorganic lead are from ingestion and inhalation. In adults, about 35--40% of inhaled lead dust is deposited in the lungs, and about 95% of that goes into the bloodstream. Of ingested inorganic lead, about 15% is absorbed, but this percentage is higher in children, pregnant women, and people with deficiencies of calcium, zinc, or iron. Infants may absorb about 50% of ingested lead, but little is known about absorption rates in children."
do you qualify for the world cup if you host it,TRUE,"The hosts of the World Cup receive an automatic berth. Unlike many other sports, results of the previous World Cups or of the continental championships are not taken into account. Until 2002, the defending champions also received an automatic berth, but starting from the 2006 World Cup this is no longer the case."
does oregon have a stand your ground law,TRUE,"The states that have adopted stand-your-ground in practice, either through case law/precedent, jury instructions or by other means, are California, Colorado, Illinois, New Mexico, Oregon, Virginia, and Washington."
does it get cold at night in hawaii,FALSE,"Temperatures at sea level generally range from highs of 85--90 °F (29--32 °C) during the summer months to 79--83 °F (26--28 °C) during the winter months. Rarely does the temperature rise above 90 °F (32 °C) or drop below 65 °F (18 °C) at lower elevations. Temperatures are lower at higher altitudes; in fact, the three highest mountains of Mauna Kea, Mauna Loa, and Haleakalā often receive snowfall during the winter."
does north and south korea speak the same,FALSE,The Korean language has changed between the two states due to the length of time that North and South Korea have been separated.
does it have to rain to have lightning,FALSE,"A dry thunderstorm or heat storm is a thunderstorm that produces thunder and lightning, but most or all of its precipitation evaporates before reaching the ground. Dry lightning refers to lightning strikes occurring in this situation. Both are so common in the American West that they are sometimes used interchangeably. The latter term is a technical misnomer since lightning itself is neither wet nor dry."
is there a sequal to gone with the wind,TRUE,"Scarlett is a 1991 novel by Alexandra Ripley, written as a sequel to Margaret Mitchell's 1936 novel, Gone with the Wind. The book debuted on The New York Times bestsellers list, but both critics and fans of the original novel found Ripley's version to be inconsistent with the literary quality of Gone with the Wind."
is red dead revolver related to red dead redemption,TRUE,"Red Dead is a series of Western-themed action-adventure video games developed by Rockstar San Diego and published by Rockstar Games. The first game, titled Red Dead Revolver, was originally released for PlayStation 2 and Xbox in May 2004. The second game, Red Dead Redemption, was released for PlayStation 3 and Xbox 360 in May 2010 to wide critical acclaim, and is considered one of the best video games of all time. The third entry in the series, Red Dead Redemption 2, is scheduled to be released for PlayStation 4 and Xbox One on October 26, 2018."
can you score direct from a kickoff in football,TRUE,A goal may be scored directly from a kick-off against the opponent.
are el dorado and rio bravo the same movie,FALSE,"El Dorado is the second of three films directed by Hawks about a sheriff defending his office against belligerent outlaw elements in the town, after Rio Bravo (1959) and before Rio Lobo (1970), both also starring Wayne in approximately the same role. The plotlines of all three films are almost similar enough to qualify El Dorado and Rio Lobo as remakes. Dean Martin had portrayed the drunken deputy in Rio Bravo, preceding Mitchum in the part as a drunken sheriff, while Walter Brennan played the wild old man role later rendered by Arthur Hunnicutt, and Ricky Nelson appeared as a gunslinging newcomer similar to Caan in El Dorado."
can you boat from lake michigan to atlantic ocean,TRUE,"The waterway allows passage from the Atlantic Ocean to the inland port of Duluth on Lake Superior, a distance of 2,340 miles (3,770 km) and to Chicago, on Lake Michigan, at 2,250 miles (3,620 km)."
is there a series 9 of vampire diaries,FALSE,"The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the popular book series of the same name written by L.J. Smith. The series premiered on The CW on September 10, 2009, and concluded on March 10, 2017, airing 171 episodes over eight seasons."
can puppies see when they open their eyes,TRUE,"Puppies are born with a fully functional sense of smell but can't open their eyes. During their first two weeks, a puppy's senses all develop rapidly. During this stage the nose is the primary sense organ used by puppies to find their mother's teats, and to locate their littermates, if they become separated by a short distance. Puppies open their eyes about nine to eleven days following birth. At first, their retinas are poorly developed and their vision is poor. Puppies are not able to see as well as adult dogs. In addition, puppies' ears remain sealed until about thirteen to seventeen days after birth, after which they respond more actively to sounds. Between two and four weeks old, puppies usually begin to growl, bite, wag their tails, and bark."
can you score direct from a kickoff in football,TRUE,A goal may be scored directly from a kick-off against the opponent.
